核苷种类,A溶剂,A添加剂种类mmol,A添加剂种类percent,B溶剂,B添加剂种类mmol,B添加剂种类percent,H,S*,A,B,C (pH 2.8),C (pH 7.0),色谱柱调料粒径,色谱柱长度,色谱柱内径,柱温,A添加剂种类浓度mmol,A添加剂种类浓度%,B添加剂种类浓度mmol,B添加剂种类浓度%,时间min,比例A,时间min1,比例A1,时间min2,比例A2,时间min3,比例A3,时间min4,比例A4,时间min5,比例A5,时间min6,比例A6,时间min7,比例A7,时间min8,比例A8,时间min9,比例A9,流速,进样量,保留时间
2-脱氧鸟苷,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,34
腺苷,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,35.6
尿嘧啶,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,100,9,99,13,96,18,96,23,75,23.5,100,-1,101,-1,101,-1,101,-1,101,1,20,6.4
次黄嘌呤,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,100,9,99,13,96,18,96,23,75,23.5,100,-1,101,-1,101,-1,101,-1,101,1,20,10.5
黄嘌呤,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,100,9,99,13,96,18,96,23,75,23.5,100,-1,101,-1,101,-1,101,-1,101,1,20,16.1
胸苷,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,90,15,90,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,20,9.2
腺苷,水,无,无,甲醇,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,90,15,90,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,20,14.8
腺苷,水,无,无,甲醇,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,35,0,0,0,0,0,100,7,97,12,97,22,94,40,94,41,100,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,29.5
胞嘧啶,水,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,98,12,98,16,92,18,98,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,4
尿嘧啶,水,无,无,乙腈,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,98,12,98,16,92,18,98,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,6
肌苷,水,无,无,乙腈,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,98,12,98,16,92,18,98,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,10
腺苷,水,无,无,乙腈,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,98,12,98,16,92,18,98,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,19
尿嘧啶,水,无,无,乙腈,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,7
胞苷,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,10.5
次黄嘌呤,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,13
尿苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,11
肌苷,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,23
鸟苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,25
胸苷,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,27
腺苷,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,30
胞嘧啶,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,1.9
尿嘧啶,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,10
胞苷,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,12
次黄嘌呤,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,14
次黄嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,甲醇,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,14.5
黄嘌呤,水,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,17
胸腺嘧啶,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,20.3
腺嘌呤,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,28
腺嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,甲醇,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,32.5
肌苷,水,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,29.2
肌苷,水,无,磷酸二氢钾-磷酸氢二钾,甲醇,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,35
尿苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,3.8
尿苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,4.6
2-脱氧鸟苷,水,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,32
胸苷,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,33.4
腺苷,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,37
腺苷,水,无,磷酸二氢钾-磷酸氢二钾,甲醇,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,50
腺苷,水,磷酸二氢钾,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,50,0,0,0,0,100,10,98,20,90,21,40,25,40,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,18.5
2-脱氧腺苷,水,无,无,乙腈,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,38.5
虫草素,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,39
胸腺嘧啶,水,无,磷酸,甲醇,无,无,0.98,0.01,-0.14,-0.01,0.13,0.05,5,250,4.6,40,0,0.005,0,0,0,0,5,95,6,30,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,15,3.8
尿嘧啶,水,无,冰醋酸,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.0007,0,0,0,96,15,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,3.9
尿嘧啶,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,3.5
尿嘧啶,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.1
胞苷,水,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,5.5
胞苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,99.5,2,99.5,3,99,7,98,8,95,10,90,40,60,-1,101,-1,101,-1,101,1,2,4.6
次黄嘌呤,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.0007,0,0,0,96,15,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,5.2
次黄嘌呤,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.5
鸟嘌呤,水,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,6.1
尿苷,水,无,甲酸,甲醇,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,3.8
鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,5.9
鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,9.2
鸟苷,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,5.8
腺嘌呤,水,无,无,乙腈,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,12
腺嘌呤,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.6
腺嘌呤,水,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,99.5,2,99.5,3,99,7,98,8,95,10,90,40,60,-1,101,-1,101,-1,101,1,2,9.3
肌苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.0007,0,0,0,96,15,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,12
肌苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,13
肌苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,13.8
尿苷,水,无,无,水,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,18
鸟苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,17.5
尿苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,20
胸苷,水,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,15
腺苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,17
腺苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,99.5,2,99.5,3,99,7,98,8,95,10,90,40,60,-1,101,-1,101,-1,101,1,2,15.6
腺苷,水,无,磷酸,甲醇,无,无,1.07,0.02,-0.06,-0.03,0.05,0.08,5,250,4.6,25,0,0.002,0,0,0,85,0,70,2,55,6,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.7,20,19.2
尿嘧啶,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.001,0,0,0,99,10,99,25,85,26,0,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,8
尿嘧啶,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,3
胞苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,1.2
次黄嘌呤,水,无,甲酸,水,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.001,0,0,0,99,10,99,25,85,26,0,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,16
黄嘌呤,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.001,0,0,0,99,10,99,25,85,26,0,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,18
鸟苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,36
尿苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,10.1
鸟苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,16.6
胸腺嘧啶,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,9.4
腺嘌呤,水,无,磷酸,水,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,40,0,0.001,0,0,0,98,5,92,10,85,25,75,40,55,50,40,60,30,70,30,71,98,-1,101,1,20,5
腺嘌呤,水,无,甲酸,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,5.2
腺嘌呤,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,22.8
肌苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,16.2
肌苷,水,无,甲酸,水,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.001,0,0,0,99,10,99,25,85,26,0,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,20
肌苷,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,13.6
尿苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,1.8
尿苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,3
鸟苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,6.1
腺苷,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,35
腺苷,水,无,磷酸,水,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,40,0,0.001,0,0,0,98,5,92,10,85,25,75,40,55,50,40,60,30,70,30,71,98,-1,101,1,20,8
腺苷,水,无,甲酸,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,16.5
腺苷,水,无,甲酸,乙腈 ,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0.005,0,0,0,100,12,100,17,98,27,98,45,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,15,38.5
虫草素,水,磷酸二氢钾,无,乙腈,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,40,0,0,0,0,100,7,100,20,97,40,90,50,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,40.5
虫草素,水,无,甲酸,甲醇,无,无,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,150,4.6,30,0,0.001,0,0,0,100,7,100,20,96,40,15,55,0,58,0,-1,-1,-1,-1,-1,-1,-1,-1,1,10,24.2
尿苷,水,磷酸,无,水,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,15
鸟苷,水,磷酸,无,甲醇,无,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0.001,0,0,0,99.5,15,93,25,85,35,20,45,10,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,10,22
尿苷,水,无,无,甲醇,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,15.8
鸟苷,水,无,无,乙腈,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,99,10,99,20,97,25,92,32,80,45,80,50,50,60,0,-1,101,-1,101,0.6,20,30
尿苷,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,90,15,90,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.8,20,3.8
尿苷,水,无,无,甲醇,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,100,9,99,13,96,18,96,23,75,23.5,100,-1,101,-1,101,-1,101,-1,101,1,20,13
尿苷,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,35,0,0,0,0,0,100,7,97,12,97,22,94,40,94,41,100,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,16.4
鸟苷,水,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,98,12,98,16,92,18,98,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,11
尿苷,水,无,无,乙腈,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,14.5
鸟苷,水,无,无,甲醇,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,98,7,98,7.1,97,13,97,25,80,40,0,-1,101,-1,101,-1,101,-1,101,0.8,50,24.5
尿苷,水,无,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,18
尿苷,水,磷酸二氢钾,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,50,0,0,0,0,100,10,98,20,90,21,40,25,40,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,7.5
鸟苷,水,无,无,乙腈,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,100,10,100,15,95,30,80,35,75,36,100,45,100,-1,101,-1,101,-1,101,1,10,30
鸟苷,水,磷酸二氢钾,无,甲醇,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,50,0,0,0,0,100,10,98,20,90,21,40,25,40,-1,101,-1,101,-1,101,-1,101,-1,101,1,10,12.5
尿苷,水,无,冰醋酸,乙腈,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.0007,0,0,0,96,15,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,6.2
尿苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,9
尿苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6.8
尿苷,水,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,99.5,2,99.5,3,99,7,98,8,95,10,90,40,60,-1,101,-1,101,-1,101,1,2,6.4
鸟苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.0007,0,0,0,96,15,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,13
鸟苷,水,无,无,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,100,8,100,8.5,95,20,75,22,0,-1,101,-1,101,-1,101,-1,101,-1,101,1,5,13.5
鸟苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,12.2
