色谱柱类型,色谱柱调料粒径μm,色谱柱长度mm,色谱柱内径mm,柱温,A,A添加剂种类mmol,A添加剂种类%,B,B添加剂种类mmol,B添加剂种类%,A添加剂浓度mmol/L,A添加剂比例(v/v),pH,B浓度mmol/L,B添加剂比例(v/v),pH,起始时间min,起始比例A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,流量mL/min,进样量μL,胞嘧啶,尿嘧啶,胞苷,次黄嘌呤,黄嘌呤,鸟嘌呤,尿苷,脱氧尿苷,胸腺嘧啶,腺嘌呤,肌苷,脱氧肌苷,鸟苷,2-脱氧鸟苷,胸苷,腺苷,β-胸苷,2-脱氧腺苷,虫草素
Spherigel C8,5,250,4.6,25,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,5,0.0000 ,4.3,0,0,10,0,20,5,25,5,35,30,40,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,0,0,0,22.52,0,0,25.87,0,0,30.15,0,0,0
Spherigel C8,5,250,4.6,25,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,5,0.0000 ,4.3,0,0,10,0,20,5,25,5,35,30,40,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,0,0,0,22.52,0,0,19.82,0,0,30.15,0,0,0
Supersil AQ-C18,5,250,4.6,25,甲醇,无,无,水,无,醋酸,0,0.000 ,0,0,0.0020 ,0,0,0,10,0,20,5,30,15,40,15,50,20,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,8.73,0,0,14.62,0,12.48,17.1,27.92,0,10.19,30.84,22.7,31.78,0,0,32.76,0,0,0
Supersil ODS2 C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,0,9,0,0,0,12.7,0,0,0,19.5,0,20,0,0,25,0,0,0
Venusil MP C18,5,250,4.6,35,甲醇,无,无,水,水,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,21,17,25,20,30,24,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,9,0,0,0,12,0,0,17,0,0,19,0,0,24,0,0,0
Venusil MP C18,5,250,4.6,35,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,6,8,0,0,9,11,0,0,16.5,0,0,18.5,0,21,23,0,24,0
Venusil MP C18,5,250,4.6,35,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,22,17,26,20,32,24,50,1,55,1,-1,-1,-1,-1,1,20,0,7,10,0,0,11,13,0,0,18,0,0,20,0,22,25,0,27,0
Venusil MP C18,5,250,4.6,30,乙腈,无,无,水,无,甲酸,0,0.000 ,0,0,0.0001 ,0,0,0,15,0,20,99,25,97,55,97,60,0,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,0,0,18,0,0,24,31,0,0,34,0,35,0,45,38,0,0,0
Venusil MP C18,5,250,4.6,30,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,99,15,95,20,85,25,80,33,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,7,10.3,0,0,11.5,23.6,0,0,21,0,24.3,14,0,0,30,0,31.2,0
Venusil MP C18,5,250,4.6,35,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,22,17,26,20,32,24,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,11.5,0,0,0,0,0,19,0,0,24,0,0,0
Venusil MP C18,5,250,4.6,25,水,无,无,乙腈,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,10,92,20,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,0,8,9,0,0,9.9,0,0,12,0,0,12.5,0,0,15.5,0,16,0
Venusil MP C18,5,250,4.6,30,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,5,5,13,15,23,16,26,17,30,20,36,23,42,1,47,1,-1,-1,1,20,0,17,9.5,10,0,0,0,0,0,16,0,0,12,0,0,23,0,24.5,0
Venusil MP C18,5,250,4.6,35,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,22,17,26,20,32,24,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,12.8,0,0,0,0,0,18.8,0,0,23.9,0,0,0
X select HSS T3 column,5,250,4.6,40,乙腈,无,无,水,无,磷酸二氢钾,0,0.000 ,0,0,1.0000 ,4.8,0,0,5,0,15,3,25,10,30,10,31,0,40,0,-1,-1,-1,-1,-1,-1,1,10,0,0,0,12,0,0,16,0,0,18.5,22,0,22.7,24,0,27,0,28,0
Zorbax SB-C18,5,250,4.6,25,水,磷酸二氢钾,无,甲醇,无,无,10,0.000 ,2.9,0,0.0000 ,0,0,97,30,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,5,0,0,0,0,0,0,10,0,0,0,0,0,23,0,0,20,0,0,0
Zorbax SB-C18,5,150,4.6,25,水,无,磷酸,甲醇,无,无,0,0.001 ,0,0,0.0000 ,0,0,97,10,95,15,80,20,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,10,0,0,0,0,0,0,8,0,0,0,0,0,9.2,0,0,14,0,0,0
菲罗门Titank C18,3,150,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,8,0,20,8,37,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,0,0,12,0,0,0,18.5,0,0,25.8,0,0,27.2,0,0,31.4,0,0,0
